total_LHeighth_notes,average_RLH_note_35_range,average_RH_note_10_range,total_LHhalf_notes,large_10jumps_RH,total_RH_raw_notes,large_8jumps_LH,RLH_note_35_range,RH_note_10_range,average_LRH_5chord_hand_range,large_5jumps_LH,average_RLH_note_100_range,average_LH_2chord_hand_range,average_LRH_3chord_range,total_RH_notes,total_LRHwhole_notes,average_LH_2chord_range,total_LRHquarter_notes,average_RHhalf_ntoes,AverageTimeBetweenAttacksFeature,average_LH_5chord_range,average_LH_5chord_hand_range,average_LRH64th_notes,average_large_5jumps_LH,total_LHwhole_notes,average_LH_note_35_range,total_RHquarter_notes,average_RLH_note_10_range,average_RLH_note_20_range,average_LH_note_20_range,LH_note_35_range,total_LHquarter_notes,RLH_note_10_range,RLH_note_20_range,average_large_8jumps_LRH,average_RH_3chord_range,total_LH32nd_notes,average_RH_range,average_LHeighth_notes,average_large_8jumps_RH,RLH_note_100_range,average_LHhalf_ntoes,average_LRH16th_notes,LH_note_50_range,total_LRH_sharp_keys_pressed,average_RH_note_50_range,LH_note_100_range,total_RHwhole_notes,large_5jumps_LRH,total_LRH16th_notes,total_RH_flat_keys_pressed,total_LH_notes,average_LH_3chord_range,total_LH64th_notes,average_LRH_2chord_hand_range,total_RH_sharp_keys_pressed,UniqueSetClassSimultaneities,total_RH64th_notes,average_LRHeighth_notes,total_LRHeighth_notes,average_LH_note_10_range,total_LH16th_notes,average_LH_4chord_hand_range,average_large_10jumps_RH,large_9jumps_RH,average_large_9jumps_LH,RH_note_100_range,average_RLH_range,average_large_10jumps_LH,MostCommonNoteQuarterLengthPrevalence,average_RHquarter_notes,total_LRH_notes,average_RH64th_notes,average_RLH_note_50_range,RelativeStrengthOfTopPitchClassesFeature,AverageTimeBetweenAttacksForEachVoiceFeature,LH_note_20_range,average_LRHquarter_notes,total_RH16th_notes,PitchVarietyFeature,total_LRH32nd_notes,total_LH_sharp_keys_pressed,average_LH32nd_notes,RH_note_50_range,average_RH_note_20_range,average_LHquarter_notes,average_large_5jumps_LRH,average_LRH_4chord_hand_range,average_RH_5chord_range,RH_note_35_range,average_LH_4chord_range,UniquePitchClassSetSimultaneities,RelativeStrengthOfTopPitchesFeature,total_LRH_raw_notes,average_RH_3chord_hand_range,MostCommonNoteQuarterLength,average_RH_4chord_range,large_10jumps_LRH,MostCommonSetClassSimultaneityPrevalence,average_LH_3chord_hand_range,total_LRHhalf_notes,average_LH_note_50_range,average_RH_2chord_range,average_RH_5chord_hand_range,ImportanceOfHighRegisterFeature,TriadSimultaneityPrevalence,average_LRH_2chord_range,RH_note_20_range,average_LHwhole_notes,average_large_10jumps_LRH,total_RHhalf_notes,Grade,large_8jumps_RH,large_9jumps_LH,average_LRH32nd_notes,LH_note_10_range,average_RHeighth_notes,total_LRH64th_notes,AverageNoteDurationFeature,total_LH_raw_notes,average_LH_range,average_LRHwhole_notes,average_LH_note_100_range,total_LH_flat_keys_pressed,average_LRHhalf_ntoes,music_key,average_LRH_5chord_range,large_5jumps_RH,average_LH64th_notes,average_large_9jumps_RH,average_RH_4chord_hand_range,average_large_9jumps_LRH,average_RH16th_notes,large_8jumps_LRH,RLH_note_50_range,average_RH_2chord_hand_range,average_RH_note_35_range,large_10jumps_LH,average_RH_note_100_range,total_RHeighth_notes,average_LH16th_notes,DirectionOfMotionFeature,average_LRH_4chord_range,large_9jumps_LRH,average_large_8jumps_LH,NoteDensityFeature,total_LRH_flat_keys_pressed,total_RH32nd_notes,average_LRH_3chord_hand_range,average_RHwhole_notes,average_large_5jumps_RH,average_RH32nd_notes
56,6,0,0,1,329,4,15,0,0,37,9,0,4,335,0,0,0,0,0.117321867322,0,0,0,6,0,4,0,2,2,7,8,0,2,4,14,3,0,2,0,8,28,0,0,9,102,3,18,0,307,0,0,287,0,0,13,59,12,0,0,0,0,229,0,10,1,11,14,11,11,0.776429809359,0,622,0,9,0.967741935484,0.149620007095,7,0,304,36,0,43,0,6,2,0,13,6,0,4,0,46,0.816326530612,616,6,0.25,0,252,0.231805929919,0,0,4,5,0,0.341337907376,0.00539083557951,1,2,0,14,0,6,5,1,0,0,0,0,0.140989866353,287,2,0,6,0,0,2,0,57,0,10,0,14,0,278,21,5,2,1,5,22,0,0.505244755245,2,264,8,15.9772727273,0,0,12,0,5,0
0,4,0,1,2,101,11,4,0,10,84,7,3,3,101,0,3,0,0,0.564705882353,0,0,0,5,0,0,24,0,0,0,0,5,0,0,10,0,0,2,0,8,22,0,0,8,0,2,10,3,121,0,20,107,3,0,8,0,17,0,0,0,0,0,8,10,2,13,13,7,13,0.546798029557,0,208,0,3,0.866071428571,0.666772655008,0,0,40,27,0,0,0,4,0,0,8,8,0,4,3,28,0.709302325581,107,0,1.0,0,59,0.538961038961,5,0,8,0,0,0.0206718346253,0.564935064935,2,0,0,11,9,4,6,1,0,0,0,0,0.833488372093,6,5,0,5,1,0,21,2,13,0,10,0,10,0,91,7,0,4,1,4,14,0,0.464912280702,2,70,8,4.36666666667,21,0,6,0,7,0
0,2,0,0,0,296,0,2,0,0,0,5,0,3,362,0,0,0,0,1.7243767313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,3,0,8,14,0,0,0,146,2,0,0,82,0,0,0,0,0,4,146,12,0,0,0,0,0,0,0,0,0,14,3,0,0.895027624309,0,362,0,2,0.857142857143,1.7243767313,0,0,278,20,0,0,0,4,0,0,5,5,0,2,0,28,0.911111111111,296,6,0.25,2,0,0.817679558011,0,0,0,4,0,0.591928251121,0.0165745856354,4,0,0,0,0,6,14,0,0,0,0,0,1.72375690608,0,0,0,0,0,0,10,0,82,0,0,5,0,0,14,4,4,2,0,5,18,0,0.385542168675,2,0,0,1.5776,0,0,6,0,5,0
0,8,0,5,0,85,5,15,0,0,15,7,0,0,85,0,0,0,0,0.797752808989,0,0,0,6,0,4,42,3,10,0,4,29,3,15,10,0,0,2,0,8,24,0,0,8,4,3,13,0,79,0,11,45,0,0,9,3,7,0,0,0,0,0,0,0,0,10,13,9,10,0.546153846154,0,130,0,6,0.8125,0.826028138528,0,0,2,23,0,1,0,6,3,0,10,0,0,6,0,26,0.916666666667,130,0,1.0,0,50,0.277777777778,0,0,5,0,0,0.115384615385,0.0,3,3,0,11,6,4,2,1,0,0,0,0,1.10769230769,45,3,0,5,5,0,16,0,19,0,0,0,11,0,71,15,0,4,1,4,35,0,0.609523809524,0,52,8,3.75342465753,16,0,0,0,5,0
0,10,0,20,0,154,3,20,0,0,11,10,4,2,154,0,4,0,0,0.360465116279,0,0,0,6,0,0,48,0,19,0,0,54,0,19,17,0,0,2,0,8,27,0,0,3,62,3,11,1,124,0,0,78,0,0,18,48,10,0,0,0,0,0,0,0,0,0,13,12,0,0.456140350877,0,232,0,9,0.5,0.495939427246,0,0,0,24,0,14,0,6,2,0,16,0,0,3,0,35,0.666666666667,228,0,1.0,0,114,0.381502890173,0,0,3,0,0,0.495689655172,0.0115606936416,1,2,0,17,6,4,2,0,0,0,0,0,0.484848484848,74,2,0,4,0,0,4,0,29,0,0,0,17,0,114,20,0,2,0,4,97,0,0.507936507937,0,114,8,6.03076923077,0,0,13,0,5,0
111,5,0,0,4,322,16,13,0,0,40,10,0,0,322,0,0,0,0,0.158783783784,0,0,0,6,0,2,3,3,2,3,4,5,3,5,13,0,50,2,0,9,29,0,0,8,346,3,18,0,376,0,0,260,0,0,11,189,7,0,0,0,0,94,0,11,6,14,17,10,14,0.393053016453,0,582,0,7,0.933333333333,0.20371842321,3,0,138,42,0,157,0,6,3,0,12,0,0,3,0,50,0.974358974359,582,0,0.5,0,271,0.212189616253,0,0,3,0,0,0.255941499086,0.0,2,3,0,14,0,4,10,3,0,0,0,0,0.251308900524,260,2,0,6,0,0,8,0,26,0,10,0,13,0,324,16,0,2,3,6,73,0,0.474074074074,0,290,9,9.82191780822,0,104,0,0,7,0
3,2,0,0,0,48,2,2,0,0,31,5,4,3,49,0,4,0,0,0.348484848485,0,0,0,5,0,0,10,0,0,0,0,1,0,0,8,0,0,2,0,0,14,0,0,3,1,2,6,2,49,0,7,43,3,0,6,1,15,0,0,0,0,0,0,0,0,9,10,6,0,0.489130434783,0,92,0,2,0.769230769231,0.478980322004,0,0,5,22,0,0,0,3,0,0,7,6,0,2,0,29,0.84,53,0,1.0,0,6,0.492537313433,5,0,3,3,0,0.0454545454545,0.492537313433,3,0,0,10,6,1,0,1,0,0,0,0,0.494845360825,5,4,0,3,0,0,16,0,7,0,0,0,9,0,21,3,3,2,0,3,20,0,0.396825396825,2,11,8,5.8,7,0,6,0,5,0
64,10,0,0,177,232,52,19,0,12,173,11,2,2,409,0,2,0,0,0.258511447157,0,0,0,6,0,5,0,0,12,4,8,7,0,12,14,3,0,8,0,9,32,0,0,11,167,4,18,0,615,0,0,506,3,0,13,41,30,0,0,0,0,232,4,11,181,10,15,13,10,0.580498866213,0,915,0,10,0.748603351955,0.29009569378,4,0,0,47,0,126,0,4,0,0,13,12,0,0,2,100,0.863309352518,541,6,0.5,0,507,0.299679487179,5,0,5,3,0,0.133998574483,0.286858974359,2,0,0,14,0,8,309,1,0,0,1,0,0.338815789474,309,3,0,6,6,0,5,3,406,0,11,0,14,0,581,22,3,0,1,5,232,0,0.481942714819,3,537,8,7.88343558282,6,0,12,0,8,0
407,7,0,19,12,1463,134,16,0,7,332,12,6,3,1637,0,6,0,0,0.228791773779,0,0,0,7,2,5,87,11,8,0,8,159,11,12,12,2,0,3,0,9,36,0,0,9,0,5,26,0,1517,0,688,836,3,0,11,0,29,0,0,0,0,0,0,12,13,11,22,9,12,0.36496350365,0,2473,0,6,0.949913644214,0.365183466182,0,0,818,58,0,0,0,13,11,0,11,8,0,12,0,129,0.667984189723,2073,5,0.5,1,916,0.285488958991,6,0,5,3,0,0.259474223284,0.080967402734,2,11,0,13,11,7,45,80,0,0,0,0,0.332092330603,610,4,0,9,406,0,20,3,299,0,12,5,13,0,1230,17,3,6,59,7,413,0,0.487060998152,2,1024,9,7.9932885906,1094,0,10,0,6,0
81,3,0,1,0,331,14,7,0,0,47,9,5,3,331,0,5,0,0,0.176941176471,0,0,0,6,0,2,0,3,2,2,4,12,3,4,12,0,0,3,0,8,27,0,0,5,14,3,17,0,335,0,29,226,3,0,11,6,14,0,0,0,0,121,0,0,0,10,18,10,10,0.730215827338,0,557,0,6,0.924731182796,0.201524132416,2,0,286,40,0,8,0,6,3,0,11,6,0,6,0,60,0.93023255814,546,0,0.25,0,233,0.242666666667,5,0,2,0,0,0.147313691508,0.032,2,3,0,13,1,7,4,1,0,0,0,0,0.23987506507,215,3,0,6,21,0,17,0,69,0,0,0,13,0,286,14,0,3,1,6,43,0,0.482176360225,2,245,8,10.2794117647,50,0,6,0,5,0
0,5,0,0,1,47,1,7,0,0,51,7,0,0,47,0,0,0,0,0.12109375,0,0,0,5,0,5,12,0,0,0,5,1,0,0,12,0,0,2,0,10,20,0,0,7,0,2,11,0,117,0,15,125,0,0,11,0,7,0,0,0,0,124,0,10,1,9,10,10,0,0.732558139535,0,172,0,5,0.612244897959,0.21556122449,0,0,2,20,0,0,0,3,0,0,11,0,0,2,0,26,0.512820512821,172,0,0.25,0,85,0.317829457364,0,0,5,0,0,0.139534883721,0.0,2,0,0,13,1,3,1,1,0,0,0,0,0.182857142857,125,4,0,4,29,0,18,0,4,0,10,0,12,0,106,9,0,2,0,3,22,0,0.505952380952,0,93,9,12.1764705882,44,4,0,0,6,0
10,8,0,10,3,77,23,16,0,0,72,7,4,3,142,0,4,0,0,0.474462017112,0,0,0,6,1,2,45,13,10,2,4,42,13,15,9,3,8,4,0,8,21,0,0,6,89,3,13,0,154,0,0,133,4,0,8,45,9,0,0,0,0,0,0,10,3,10,10,7,10,0.490909090909,0,275,0,7,0.928571428571,0.579583199615,2,0,0,34,0,44,0,6,3,0,8,5,0,3,0,37,0.725,160,5,1.0,3,36,0.371134020619,8,0,3,5,0,0.0648148148148,0.170103092784,4,3,0,12,0,5,18,5,0,0,0,0,0.594123345173,83,4,0,5,0,0,8,0,53,0,10,8,11,0,84,16,5,3,5,4,29,0,0.509174311927,3,48,8,5.32989690722,0,0,6,0,6,0
72,5,0,0,0,41,1,8,0,0,31,8,0,0,41,0,0,0,0,0.438311688312,0,0,0,5,0,5,13,0,5,0,5,0,0,5,14,0,0,2,0,0,24,0,0,8,2,3,13,0,83,0,5,76,3,0,13,2,18,0,0,0,0,0,0,0,0,0,12,12,0,0.784482758621,0,117,0,7,0.764705882353,0.568604651163,0,0,0,26,0,0,0,8,8,0,12,9,0,8,0,35,0.842105263158,114,0,0.5,0,60,0.23595505618,6,0,5,0,0,0.122950819672,0.0224719101124,2,8,0,15,3,1,0,0,0,0,0,0,0.685714285714,73,4,0,5,3,0,17,0,6,0,0,0,14,0,70,17,0,5,0,4,19,0,0.592920353982,3,65,8,4.61904761905,8,0,0,0,5,0
156,9,0,2,0,72,2,18,0,0,8,9,5,3,72,0,5,0,0,0.313186813187,0,0,0,6,0,2,39,0,3,0,4,4,0,3,14,0,0,2,0,0,24,0,0,4,0,3,13,0,145,0,40,164,3,0,14,0,8,0,0,0,0,0,0,0,0,9,8,12,0,0.708154506438,0,236,0,7,0.566666666667,0.509018759019,0,0,6,26,0,0,0,5,0,0,14,6,0,4,0,36,0.555555555556,234,0,0.5,0,135,0.424731182796,6,0,2,0,0,0.186440677966,0.010752688172,1,0,0,14,9,4,0,1,0,0,0,0,0.4608,162,3,0,5,83,0,25,0,11,0,0,0,14,0,141,19,0,4,0,3,9,0,0.493150684932,2,135,8,6.10344827586,123,0,6,0,5,0
131,5,0,0,9,35,43,12,0,14,104,10,0,3,266,0,0,0,0,0.34193902774,0,0,0,7,0,6,0,0,6,9,12,14,0,9,14,2,0,5,0,10,36,0,0,12,76,14,26,0,216,0,0,241,0,0,8,8,24,0,0,0,0,95,0,12,12,10,29,8,10,0.522,0,507,0,4,0.897058823529,0.308040793313,9,0,30,53,0,68,0,21,0,0,11,5,0,3,0,71,0.894736842105,276,5,0.25,2,111,0.174698795181,0,0,5,4,0,0.601390498262,0.307228915663,4,0,0,16,0,8,23,31,0,0,0,0,0.432207792208,241,4,0,8,5,0,3,2,187,0,11,6,15,0,138,12,4,3,23,13,5,0,0.482598607889,3,124,9,6.52631578947,5,0,9,0,6,0
20,2,0,4,0,165,2,2,0,0,12,8,5,3,165,0,5,0,0,0.235483870968,0,0,0,5,0,3,9,0,0,0,3,39,0,0,12,0,0,2,0,0,22,0,0,5,10,2,11,0,147,0,0,67,0,0,12,5,11,0,0,0,0,0,0,0,0,0,8,9,0,0.363636363636,0,232,0,6,0.892857142857,0.363328776487,0,0,84,19,0,5,0,2,0,0,11,0,0,2,0,28,0.755102040816,228,0,0.25,0,106,0.358288770053,0,0,3,0,0,0.340425531915,0.0213903743316,1,0,0,13,1,4,0,0,0,0,0,0,0.3552,63,2,0,4,0,0,1,0,8,0,0,0,13,0,131,12,0,2,0,3,56,0,0.507936507937,0,110,8,7.26666666667,0,6,7,0,5,0
6,9,0,8,3,266,32,17,0,0,127,9,3,3,323,0,3,0,0,0.457994579946,0,0,0,6,0,5,157,3,8,4,8,157,3,12,11,0,0,2,0,11,30,0,0,21,92,4,23,0,212,0,2,272,0,0,8,46,16,0,0,0,0,0,0,16,3,10,22,6,10,0.732517482517,0,595,0,7,0.851851851852,0.527590002338,4,0,0,39,0,46,0,9,3,0,10,8,0,5,0,68,0.915254237288,445,0,1.0,0,104,0.230769230769,0,0,11,3,0,0.284518828452,0.0875331564987,2,3,0,13,18,6,8,12,0,0,0,0,0.527216174184,179,4,0,8,2,0,2,0,38,0,16,0,12,0,159,17,3,2,10,7,79,0,0.579381443299,2,116,8,5.77058823529,4,0,8,0,6,0
198,7,0,7,5,325,12,16,0,5,40,9,4,3,343,0,4,0,0,0.296381832179,0,0,0,6,0,2,30,2,3,4,4,44,2,6,12,3,0,3,0,8,29,0,0,8,408,3,19,0,369,0,0,282,0,0,11,223,20,0,0,0,0,3,0,10,7,11,15,10,15,0.762938230384,0,625,0,7,0.979166666667,0.393936548347,4,0,5,45,0,185,0,6,2,0,11,6,0,6,0,89,0.909090909091,595,5,0.5,0,238,0.213793103448,0,0,3,4,0,0.261489698891,0.0666666666667,2,2,0,13,4,8,20,3,0,0,0,0,0.416,270,2,0,6,0,0,9,4,53,0,10,0,13,0,302,16,4,3,1,5,276,0,0.431472081218,2,270,8,6.75572519084,0,0,8,0,7,0
