Id,length,key,number_of_notes,total_measures,time_signature_num,time_signature_den,range,Grade
95,54.0,4,0,19,3,4,1064.659071669631,1
96,136.0,1,0,35,4,4,981.0958698772456,10
97,239.0,20,0,91,1,4,942.676086807409,4
98,192.0,2,0,64,3,4,889.7677435168116,3
99,108.0,19,0,73,3,8,973.0860692230434,9
100,166.5,17,0,42,4,4,245.72059239693124,10
101,361.0,17,0,150,6,8,991.5022612023953,9
102,104.0,17,0,26,4,4,981.0958698772456,10
103,96.0,16,0,20,4,4,866.9211317110307,5
104,81.5,30,0,28,6,8,604.2551138257402,2
105,132.0,22,0,33,4,4,337.522951649425,10
106,33.0,1,0,12,3,4,782.0011410045631,1
107,72.0,21,0,24,3,4,743.3023373016398,4
108,96.0,1,0,32,3,4,718.5844806383494,2
109,116.0,7,0,30,4,4,932.7666025122489,10
110,351.5,21,0,89,4,4,981.0958698772456,10
