total_LRH_notes,total_LH_notes,total_RH_notes,total_LRH_raw_notes,total_LH_raw_notes,total_RH_raw_notes,music_key,total_LRH_sharp_keys_pressed,total_LH_sharp_keys_pressed,total_RH_sharp_keys_pressed,total_LRH_flat_keys_pressed,total_LH_flat_keys_pressed,total_RH_flat_keys_pressed,average_RLH_range,average_LH_range,average_RH_range,average_RLH_note_10_range,average_LH_note_10_range,average_RH_note_10_range,average_RLH_note_20_range,average_LH_note_20_range,average_RH_note_20_range,average_RLH_note_35_range,average_LH_note_35_range,average_RH_note_35_range,average_RLH_note_50_range,average_LH_note_50_range,average_RH_note_50_range,average_RLH_note_100_range,average_LH_note_100_range,average_RH_note_100_range,RLH_note_10_range,LH_note_10_range,RH_note_10_range,RLH_note_20_range,LH_note_20_range,RH_note_20_range,RLH_note_35_range,LH_note_35_range,RH_note_35_range,RLH_note_50_range,LH_note_50_range,RH_note_50_range,RLH_note_100_range,LH_note_100_range,RH_note_100_range,average_LRH_2chord_range,average_LH_2chord_range,average_RH_2chord_range,average_LRH_3chord_range,average_LH_3chord_range,average_RH_3chord_range,average_LRH_4chord_range,average_LH_4chord_range,average_RH_4chord_range,average_LRH_5chord_range,average_LH_5chord_range,average_RH_5chord_range,average_LRH_2chord_hand_range,average_LH_2chord_hand_range,average_RH_2chord_hand_range,average_LRH_3chord_hand_range,average_LH_3chord_hand_range,average_RH_3chord_hand_range,average_LRH_4chord_hand_range,average_LH_4chord_hand_range,average_RH_4chord_hand_range,average_LRH_5chord_hand_range,average_LH_5chord_hand_range,average_RH_5chord_hand_range,large_5jumps_LRH,large_5jumps_LH,large_5jumps_RH,large_8jumps_LRH,large_8jumps_LH,large_8jumps_RH,large_9jumps_LRH,large_9jumps_LH,large_9jumps_RH,large_10jumps_LRH,large_10jumps_LH,large_10jumps_RH,average_large_5jumps_LRH,average_large_5jumps_LH,average_large_5jumps_RH,average_large_8jumps_LRH,average_large_8jumps_LH,average_large_8jumps_RH,average_large_9jumps_LRH,average_large_9jumps_LH,average_large_9jumps_RH,average_large_10jumps_LRH,average_large_10jumps_LH,average_large_10jumps_RH,total_LRHwhole_notes,total_LRHhalf_notes,total_LRHquarter_notes,total_LRHeighth_notes,total_LRH16th_notes,total_LRH32nd_notes,total_LRH64th_notes,total_LHwhole_notes,total_LHhalf_notes,total_LHquarter_notes,total_LHeighth_notes,total_LH16th_notes,total_LH32nd_notes,total_LH64th_notes,total_RHwhole_notes,total_RHhalf_notes,total_RHquarter_notes,total_RHeighth_notes,total_RH16th_notes,total_RH32nd_notes,total_RH64th_notes,average_LRHwhole_notes,average_LRHhalf_ntoes,average_LRHquarter_notes,average_LRHeighth_notes,average_LRH16th_notes,average_LRH32nd_notes,average_LRH64th_notes,average_LHwhole_notes,average_LHhalf_ntoes,average_LHquarter_notes,average_LHeighth_notes,average_LH16th_notes,average_LH32nd_notes,average_LH64th_notes,average_RHwhole_notes,average_RHhalf_ntoes,average_RHquarter_notes,average_RHeighth_notes,average_RH16th_notes,average_RH32nd_notes,average_RH64th_notes,time_signature_num,time_signature_den,Grade
691,287,404,542,149,393,1,19,7,12,16,6,10,9.113122171945701,3.8780487804878048,2.5297029702970297,0,0,0,3.6666666666666665,0,2.0,3.6,4.0,3.6666666666666665,4.523809523809524,3.1666666666666665,3.6,8.192118226600986,4.593406593406593,5.900584795321637,0,0,0,5,0,2,6,4,5,10,5,6,22,11,15,3.303030303030303,3.2388059701492535,3.3636363636363638,3.892670157068063,2.5,0,2.5833333333333335,0,0,0,0,0,9.641414141414142,3.2388059701492535,3.3636363636363638,10.020942408376964,4.0,0,5.75,0,0,0,0,0,378,99,34,303,6,3,251,6,1,224,0,1,10.227513227513228,5.909090909090909,5.9411764705882355,11.293729372937294,9.0,8.666666666666666,11.97609561752988,9.0,10.0,12.334821428571429,0,10.0,0,0,0,0,0,0,0,0,11,136,2,0,0,0,0,42,146,129,31,0,0,0.0,0.09778597785977859,0.5202952029520295,0.24169741697416974,0.05719557195571956,0.0,0.0,0.0,0.0738255033557047,0.912751677852349,0.013422818791946308,0.0,0.0,0.0,0.0,0.10687022900763359,0.37150127226463103,0.3282442748091603,0.07888040712468193,0.0,0.0,3,4,5
488,230,258,336,152,184,6,100,34,66,0,0,0,13.832236842105264,3.847826086956522,3.317829457364341,0,0,0,10.0,0,3.0,8.166666666666668,0,2.3333333333333335,9.0,4.0,3.1666666666666665,9.835497835497835,4.511111111111111,4.954545454545455,0,0,0,10,0,3,13,0,3,17,4,5,26,11,12,1.0588235294117647,4.0476190476190474,3.4081632653061225,3.417525773195876,3.388888888888889,3.5,3.1261261261261257,0,0,5.5,0,0,13.764705882352942,4.0476190476190474,3.4081632653061225,12.845360824742269,5.777777777777778,6.0,16.56756756756757,0,0,19.0,0,0,301,74,59,297,40,9,289,4,1,283,2,1,13.943521594684386,7.081081081081081,6.169491525423729,14.057239057239057,8.15,8.222222222222221,14.22491349480969,9.5,10.0,14.335689045936396,10.0,10.0,0,0,0,0,0,0,0,0,0,4,144,4,0,0,0,8,14,50,104,0,0,0.0,0.023809523809523808,0.05357142857142857,0.5773809523809523,0.32142857142857145,0.0,0.0,0.0,0.0,0.02631578947368421,0.9473684210526315,0.02631578947368421,0.0,0.0,0.0,0.043478260869565216,0.07608695652173914,0.2717391304347826,0.5652173913043478,0.0,0.0,3,4,4
879,423,456,375,193,182,1,12,6,6,27,23,4,14.980806142034549,6.973995271867612,5.037280701754386,0,0,0,4.0,0,4.0,8.166666666666666,4.0,3.6666666666666665,10.466666666666667,3.6666666666666665,3.333333333333333,10.073083778966136,5.161764705882353,6.333333333333334,0,0,0,4,0,4,15,4,5,19,5,5,27,13,16,5.620689655172414,5.888888888888889,6.65625,4.512096774193548,3.0588235294117645,3.675324675324675,4.620614035087719,3.3333333333333335,3.3333333333333335,4.659090909090909,0,0,11.086206896551724,5.888888888888889,6.65625,17.637096774193548,5.117647058823529,6.35064935064935,14.236842105263158,8.0,8.0,16.553719008264462,0,0,518,351,247,487,182,53,468,104,46,446,95,27,15.057915057915057,7.880341880341881,7.1417004048583,15.64476386036961,9.428571428571429,10.415094339622641,15.955128205128204,10.5,10.782608695652174,16.298206278026907,10.642105263157895,12.037037037037036,0,0,0,0,0,0,0,0,0,6,159,28,0,0,0,0,9,42,131,0,0,0.0,0.0,0.04,0.536,0.424,0.0,0.0,0.0,0.0,0.031088082901554404,0.8238341968911918,0.14507772020725387,0.0,0.0,0.0,0.0,0.04945054945054945,0.23076923076923078,0.7197802197802198,0.0,0.0,2,4,6
129,32,97,97,0,97,17,2,0,2,0,0,0,11.22680412371134,5.09375,1.8350515463917525,0,0,0,0,0,0,0,0,0,3.0,0,3.0,4.428571428571429,0,4.428571428571429,0,0,0,0,0,0,0,0,0,3,0,3,9,0,9,0,0,0,0,3.125,0,4.027491408934709,0,0,0,0,0,0,0,0,0,5.25,0,11.309278350515465,0,0,0,0,0,96,31,3,94,0,1,87,0,0,80,0,0,11.34375,5.258064516129032,6.0,11.436170212765957,0,8.0,11.71264367816092,0,0,11.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0.0,0.0,0.41237113402061853,0.41237113402061853,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.41237113402061853,0.41237113402061853,0.0,0.0,0.0,6,8,3
260,101,159,186,101,85,1,11,6,5,27,17,10,13.262569832402235,4.3861386138613865,3.6729559748427674,0,0,0,10.333333333333334,0,5.0,10.266666666666667,3.6666666666666665,4.333333333333333,9.333333333333334,5.4,4.2,9.736185383244205,6.6491228070175445,5.4411764705882355,0,0,0,15,0,5,20,5,6,20,10,7,27,18,14,2.0348837209302326,0,3.4594594594594597,2.859550561797753,0,0,0,0,0,0,0,0,12.86046511627907,0,3.4594594594594597,14.258426966292134,0,0,0,0,0,0,0,0,174,53,56,162,10,1,151,1,0,147,0,0,13.620689655172415,5.9245283018867925,5.553571428571429,14.209876543209877,8.1,8.0,14.66225165562914,9.0,0,14.816326530612244,0,0,0,0,0,0,0,0,0,0,29,68,4,0,0,0,0,1,18,66,0,0,0,0.0,0.16129032258064516,0.46236559139784944,0.3763440860215054,0.0,0.0,0.0,0.0,0.2871287128712871,0.6732673267326733,0.039603960396039604,0.0,0.0,0.0,0.0,0.011764705882352941,0.21176470588235294,0.7764705882352941,0.0,0.0,0.0,4,4,4
149,48,101,99,0,99,18,0,0,0,24,0,24,12.094827586206897,5.541666666666667,2.1782178217821784,0,0,0,0,0,0,2.0,0,2.0,2.3333333333333335,0,2.3333333333333335,3.6545454545454548,0,3.6545454545454548,0,0,0,0,0,0,2,0,2,3,0,3,8,0,8,0,6.5,3.0,3.0,3.3369565217391304,3.5,4.1976401179941005,0,0,4.5,0,0,0,6.5,3.0,5.0,5.673913043478261,6.0,12.327433628318584,0,0,15.0,0,0,115,34,4,112,7,0,109,2,0,103,2,0,12.2,6.705882352941177,5.25,12.375,8.857142857142858,0,12.495412844036696,11.0,0,12.699029126213592,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,22,9,0,0,0.030303030303030304,0.04040404040404041,0.0707070707070707,0.2222222222222222,0.09090909090909091,0.0,0.0,0,0,0,0,0,0,0,0.030303030303030304,0.04040404040404041,0.0707070707070707,0.2222222222222222,0.09090909090909091,0.0,0.0,4,4,3
197,93,104,163,85,78,2,22,8,14,0,0,0,9.921052631578947,4.193548387096774,2.7596153846153846,0,0,0,11.0,0,0,9.666666666666666,2.0,4.0,7.666666666666666,4.0,3.1666666666666665,9.8128078817734,6.794117647058823,5.2857142857142865,0,0,0,11,0,0,15,2,4,15,6,5,28,18,13,3.581081081081081,3.6,3.6923076923076925,3.314814814814815,3.8333333333333335,0,4.5555555555555545,0,0,0,0,0,9.972972972972974,3.6,3.6923076923076925,12.555555555555555,6.666666666666667,0,11.666666666666666,0,0,0,0,0,99,36,16,82,11,3,72,3,0,64,3,0,11.080808080808081,6.472222222222222,5.9375,12.036585365853659,8.818181818181818,8.0,12.597222222222221,11.0,0,13.046875,11.0,0,0,0,0,0,0,0,0,0,0,7,78,0,0,0,0,0,6,58,6,2,0,0.0,0.0,0.07975460122699386,0.8343558282208589,0.03680981595092025,0.012269938650306749,0.0,0.0,0.0,0.08235294117647059,0.9176470588235294,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.7435897435897436,0.07692307692307693,0.02564102564102564,0.0,4,4,4
162,64,98,148,50,98,2,8,5,3,0,0,0,9.977099236641221,2.90625,2.142857142857143,0,0,0,2.0,0,0,2.3333333333333335,3.0,2.0,5.666666666666666,3.0,2.3333333333333335,7.771929824561403,4.866666666666666,4.666666666666666,0,0,0,2,0,0,3,3,2,10,4,3,20,11,10,2.4935064935064934,3.2,0,2.32,3.0,0,3.7222222222222228,0,0,0,0,0,10.311688311688311,3.2,0,11.44,5.0,0,13.916666666666666,0,0,0,0,0,113,13,9,97,2,0,93,0,0,85,0,0,11.238938053097344,6.0,5.222222222222222,12.1340206185567,8.0,0,12.311827956989248,0,0,12.623529411764705,0,0,0,0,0,0,0,0,0,0,15,24,8,0,0,0,2,8,19,54,10,0,0,0.013513513513513514,0.1554054054054054,0.2905405405405405,0.4189189189189189,0.06756756756756757,0.0,0.0,0.0,0.3,0.48,0.16,0.0,0.0,0.0,0.02040816326530612,0.08163265306122448,0.19387755102040816,0.5510204081632653,0.10204081632653061,0.0,0.0,4,4,2
689,368,321,688,367,321,1,23,13,10,0,0,0,10.490384615384615,4.282608695652174,2.202492211838006,13.0,0,0,11.666666666666666,5.0,3.0,8.4,5.666666666666667,3.0,8.809523809523808,6.0,3.333333333333333,12.660660660660662,8.818181818181818,8.753623188405795,13,0,0,17,5,3,17,8,4,19,10,5,37,24,23,3.3477272727272727,0,0,0,3.5,0,5.0,0,0,0,0,0,11.668181818181818,0,0,0,6.0,0,13.0,0,0,0,0,0,442,113,22,365,37,14,300,22,4,281,21,3,11.941176470588236,7.106194690265487,7.409090909090909,13.197260273972603,10.64864864864865,8.5,14.323333333333334,12.454545454545455,9.75,14.683274021352313,12.619047619047619,10.0,0,0,0,0,0,0,0,0,24,66,273,0,0,0,3,13,34,120,38,0,0,0.00436046511627907,0.05377906976744186,0.14534883720930233,0.5712209302325582,0.055232558139534885,0.0,0.0,0.0,0.0653950953678474,0.17983651226158037,0.7438692098092643,0.0,0.0,0.0,0.009345794392523364,0.040498442367601244,0.1059190031152648,0.37383177570093457,0.11838006230529595,0.0,0.0,4,4,6
345,152,193,252,149,103,16,6,1,5,24,12,12,12.94820717131474,3.7039473684210527,4.575129533678757,0,0,0,4.0,0,2.0,3.6666666666666665,4.0,3.0,7.8,4.0,3.333333333333333,9.776209677419358,4.758241758241758,5.032679738562091,0,0,0,4,0,2,5,4,4,16,4,5,25,11,12,2.1523809523809523,7.666666666666667,3.8333333333333335,3.8125,0,3.475,3.123188405797101,0,2.6666666666666665,0,0,0,13.571428571428571,7.666666666666667,3.8333333333333335,11.4375,0,5.95,14.956521739130435,0,6.0,0,0,0,238,56,100,225,6,8,210,4,6,204,3,4,13.53781512605042,5.553571428571429,6.46,14.004444444444445,10.0,9.25,14.433333333333334,11.0,9.666666666666666,14.593137254901961,11.666666666666666,10.0,0,0,0,0,0,0,0,0,112,37,0,0,0,0,0,5,97,1,0,0,0,0.0,0.4642857142857143,0.5317460317460317,0.003968253968253968,0.0,0.0,0.0,0.0,0.7516778523489933,0.2483221476510067,0.0,0.0,0.0,0.0,0.0,0.04854368932038835,0.941747572815534,0.009708737864077669,0.0,0.0,0.0,2,2,3
